"idPuesto","Puesto","RelacionGerencia"
"PST-0001","Coordinador de Mtto instalaciones","1"
"PST-0002","Ayudante de mantenimiento instalaciones","1"
"PST-0003","Encargado de Cuadrilla","1"
"PST-0004","Ayudante jardineria y poda","1"
"PST-0005","Coodinador de almacen","2"
"PST-0006","Aux de recepción de sustancias químicas","2"
"PST-0007","Auxiliar de Almacén ","2"
"PST-0008","Auxiliar Administrativo (Resguardos)","3"
"PST-0009","Gerente de Contraloría de Obra Planeación y Mantenimiento","4"
"PST-0010","Analista de Contraloria de Obra, Planeación y Mantenimiento","4"
"PST-0011","Gerente de Contraloria Administrativa","5"
"PST-0012","Analista Administrativo","5"
"PST-0013","Director de Infraestructura","6"
"PST-0014","Coordinador de Monitoreo e Inspección","6"
"PST-0015","Asistente de Dirección (Dirección de Infraestructura)","6"
"PST-0016","Auxiliar Administrativo (Temas de Recursos Materiales)","6"
"PST-0017","Coordinador de infraestructura y Análitica de Datos","6"
"PST-0018","Analista de Datos y Cartografía","6"
"PST-0019","Supervisor de Inspección","7"
"PST-0020","Supervisor de Monitoreo","7"
"PST-0021","Aquabomter","8"
"PST-0022","Operador de tanque y rebombeo","8"
"PST-0023","Jefe de Administración del Agua RI-RIV","9"
"PST-0024","Agente Swat","9"
"PST-0025","Técnico Swat","9"
"PST-0026","Operador de Pipa","9"
"PST-0027","Supervisor de Zona 1-14","9"
"PST-0028","Jefe de Cuadrilla","9"
"PST-0029","Oficial Operativo","9"
"PST-0030","Ayudante","9"
"PST-0031","Operador de Tanque y Rebombeo","9"
"PST-0032","Coordinador de Tanques y Rebombeos ","9"
"PST-0033","Jefe de Brigada (Administración del Agua)","9"
"PST-0034","Ayudante de Brigada (Administración del Agua)","9"
"PST-0035","Operador de Equipo Hidroneumático","9"
"PST-0036","Encargado de Cuadrilla (Administración del Agua)","9"
"PST-0037","Gerente de Administración del Agua","9"
"PST-0038","Gerente de Drenaje y Alcantarillado","10"
"PST-0039","Coordinador de Monitoreo y Descargas","10"
"PST-0040","Operador de Equipo (Monitoreo y descargas)","10"
"PST-0041","Oficial Operativo (Coordinación de Moni. Y Desc.)","10"
"PST-0042","Jefe de Pluvial","10"
"PST-0043","Oficial Operativo (Pluvial)","10"
"PST-0044","Auxiliar Técnico (Gerencia de Drenaje y Alcantarillado)","10"
"PST-0045","Coordinador de Vertidos","10"
"PST-0046","Oficial de Operativo (de Vertidos)","10"
"PST-0047","Jefe de Mantenimiento","10"
"PST-0048","Oficial Operativo (Mantenimiento)","10"
"PST-0049","Jefe de Drenaje y Alcantarillado","10"
"PST-0050","Coordinador de Mantenimiento Preventivo","10"
"PST-0051","Oficial de Equipo Hidroneumático","10"
"PST-0052","Operador de Pipa (Mantenimiento Preventivo)","10"
"PST-0053","Oficial Operativo (Mantenimiento Preventivo)","10"
"PST-0054","Ayudante (Mantenimiento Preventivo)","10"
"PST-0055","Operador de Equipo","10"
"PST-0056","Oficial Herrero","10"
"PST-0057","Soldador","10"
"PST-0058","Ayudante (Pluvial)","10"
"PST-0059","Jefe de Análisis y Dictamen Técnico","11"
"PST-0060","Analista Técnico (Dictamen Técnico)","11"
"PST-0061","Auxiliar Técnico (Análisis y Dictamen Técnico)","11"
"PST-0062","Gerente de Detección y Reparación de Fugas","12"
"PST-0063","Auxiliar Brigadas videoinspección","12"
"PST-0064","Oficial Operativo Videoinspección","12"
"PST-0065","Jefe de Brigada de Medición FNV","12"
